text,label
"Отличный товар, всё пришло вовремя и работает как надо",positive
"Ужасное качество, сломалось на второй день",negative
"Прекрасный сервис, буду заказывать ещё",positive
"Никому не советую, полное разочарование",negative
"Очень доволен покупкой, всё супер",positive
"Деньги на ветер, товар не стоит своей цены",negative
Быстрая доставка и приятный персонал,positive
Хамство и грубость со стороны продавца,negative
"Качество на высоте, рекомендую всем",positive
"Заказ пришёл повреждённым, продавец не отвечает",negative
"Я в восторге, лучшая покупка за последнее время",positive
"Полный кошмар, никогда больше не куплю здесь",negative
"Хорошая упаковка, товар как на фото",positive
"Отвратительное обслуживание, ждал неделю ответа",negative
"Всё понравилось, буду рекомендовать друзьям",positive
"Товар оказался бракованным, требую возврат денег",negative
Приятно удивлён качеством за такую цену,positive
"Развод и обман, фото не соответствует товару",negative
"Работает отлично, никаких нареканий",positive
"Пришёл не тот размер, а вернуть не дают",negative
"Спасибо большое, товар супер, всем советую",positive
Худший опыт покупки в интернете,negative
"Всё быстро, качественно и вежливо",positive
"Товар не работает, деньги никто не возвращает",negative
Очень удобно и приятно пользоваться,positive
"Кошмарное качество, сыпется на глазах",negative
Магазин радует стабильно хорошим сервисом,positive
Обманули с описанием товара полностью,negative
"Прекрасное качество пошива, размер подошёл идеально",positive
"Заказ потеряли, вернули деньги только после жалобы",negative
"Быстро, качественно, буду заказывать снова",positive
Товар пришёл сломанным и без документов,negative
Отличное соотношение цены и качества,positive
"Ужасная упаковка, всё было раздавлено",negative
"Продавец очень отзывчивый, помог с выбором",positive
"Не рекомендую, качество ниже среднего",negative
"Всё супер, доставили раньше срока",positive
"Полное разочарование, деньги на ветер",negative
Товар полностью соответствует описанию,positive
"Обещали за три дня, привезли через месяц",negative
